network_type,analysis_type,subdomain,count,mean,std,var,min,max,median,q25,q75,start_date,end_date
external,response,slis,16,1.163155,0.824535,0.679858,0.000000,2.673486,1.197048,0.791495,1.811760,2025-04-01,2025-04-30
external,response,lawschool,12,1.120927,1.276663,1.629869,0.000000,3.242975,0.574684,0.000000,2.057520,2025-04-01,2025-04-30
external,response,geoenv,9,1.109519,0.918770,0.844139,0.000000,2.286186,1.125018,0.000000,1.770078,2025-04-01,2025-04-30
external,response,px,17,1.043683,1.044369,1.090707,0.000000,2.858067,1.143093,0.000000,2.110655,2025-04-01,2025-04-30
external,response,zdk,17,1.039457,1.193698,1.424914,0.000000,4.376049,1.063248,0.000000,1.224001,2025-04-01,2025-04-30
external,response,person,13,0.998816,0.953378,0.908931,0.000000,2.476223,1.034245,0.000000,1.651338,2025-04-01,2025-04-30
external,response,japanese,10,0.993015,0.759505,0.576847,0.000000,2.052016,1.094133,0.263832,1.541785,2025-04-01,2025-04-30
external,response,kz,20,0.980429,1.050852,1.104289,0.000000,3.345308,1.090021,0.000000,1.790274,2025-04-01,2025-04-30
external,response,biol,16,0.955469,1.127242,1.270676,0.000000,3.278480,0.571546,0.000000,1.659806,2025-04-01,2025-04-30
external,response,oyoriko,7,0.938075,0.681047,0.463825,0.000000,1.811760,1.143093,0.571328,1.234507,2025-04-01,2025-04-30
external,response,tac,13,0.935394,0.766574,0.587635,0.000000,2.461805,1.055327,0.000000,1.180971,2025-04-01,2025-04-30
external,response,shakai,6,0.910487,0.752239,0.565864,0.000000,1.672654,1.075513,0.256502,1.510684,2025-04-01,2025-04-30
external,response,ac,17,0.865426,0.818449,0.669858,0.000000,2.461805,1.122348,0.000000,1.376124,2025-04-01,2025-04-30
external,response,jinsha,9,0.858001,0.872695,0.761596,0.000000,2.068491,1.026008,0.000000,1.672654,2025-04-01,2025-04-30
external,response,ied,15,0.848303,0.861018,0.741352,0.000000,2.126496,1.122348,0.000000,1.645289,2025-04-01,2025-04-30
external,response,education,17,0.834122,1.084143,1.175366,0.000000,2.673486,0.000000,0.000000,1.778879,2025-04-01,2025-04-30
external,response,tsa,14,0.781652,0.805254,0.648434,0.000000,2.461805,1.030127,0.000000,1.127837,2025-04-01,2025-04-30
external,response,hosp,14,0.776820,0.877124,0.769347,0.000000,2.426250,0.513004,0.000000,1.308490,2025-04-01,2025-04-30
external,response,kokusai,11,0.727888,0.906422,0.821602,0.000000,2.468786,0.000000,0.000000,1.374266,2025-04-01,2025-04-30
external,response,sanrenhonbu,13,0.708881,0.711917,0.506826,0.000000,1.770078,1.063248,0.000000,1.213125,2025-04-01,2025-04-30
external,response,life,12,0.691434,0.783452,0.613797,0.000000,2.110655,0.513004,0.000000,1.160601,2025-04-01,2025-04-30
external,response,ipp,4,0.672358,0.809673,0.655570,0.000000,1.626184,0.531624,0.000000,1.203982,2025-04-01,2025-04-30
external,response,edu,14,0.658293,0.721729,0.520893,0.000000,1.821704,0.527663,0.000000,1.138574,2025-04-01,2025-04-30
external,response,dac,11,0.654422,1.003202,1.006414,0.000000,2.886873,0.000000,0.000000,1.330215,2025-04-01,2025-04-30
external,response,t-pirc,18,0.650668,0.811276,0.658168,0.000000,2.250037,0.000000,0.000000,1.171501,2025-04-01,2025-04-30
external,response,are,5,0.627333,0.940721,0.884956,0.000000,2.110655,0.000000,0.000000,1.026008,2025-04-01,2025-04-30
external,response,cryo,4,0.567028,0.654789,0.428748,0.000000,1.143093,0.562509,0.000000,1.129537,2025-04-01,2025-04-30
external,response,eme,7,0.564455,0.971265,0.943355,0.000000,2.181105,0.000000,0.000000,0.885039,2025-04-01,2025-04-30
external,response,tlsi,3,0.557551,0.965707,0.932590,0.000000,1.672654,0.000000,0.000000,0.836327,2025-04-01,2025-04-30
external,response,diversity,10,0.554149,0.586472,0.343949,0.000000,1.213125,0.513004,0.000000,1.102325,2025-04-01,2025-04-30
external,response,shimoda,21,0.549022,0.745267,0.555423,0.000000,1.922758,0.000000,0.000000,1.142656,2025-04-01,2025-04-30
external,response,emp,4,0.545276,1.090553,1.189305,0.000000,2.181105,0.000000,0.000000,0.545276,2025-04-01,2025-04-30
external,response,hibun,4,0.543030,0.627540,0.393806,0.000000,1.116795,0.527663,0.000000,1.070694,2025-04-01,2025-04-30
external,response,kyoikusuishin,8,0.538134,1.003972,1.007960,0.000000,2.382316,0.000000,0.000000,0.480689,2025-04-01,2025-04-30
external,response,icrhs,2,0.527663,0.746229,0.556858,0.000000,1.055327,0.527663,0.263832,0.791495,2025-04-01,2025-04-30
external,response,wpi-iiis,9,0.511862,0.789136,0.622735,0.000000,1.811760,0.000000,0.000000,1.122348,2025-04-01,2025-04-30
external,response,japan,6,0.506592,0.825156,0.680883,0.000000,1.922758,0.000000,0.000000,0.837596,2025-04-01,2025-04-30
external,response,informatics,8,0.504774,0.723793,0.523876,0.000000,1.770078,0.000000,0.000000,1.129537,2025-04-01,2025-04-30
external,response,ocw,6,0.478357,0.752233,0.565855,0.000000,1.639240,0.000000,0.000000,0.923176,2025-04-01,2025-04-30
external,response,envr,13,0.477560,0.646219,0.417599,0.000000,1.685209,0.000000,0.000000,1.116795,2025-04-01,2025-04-30
external,response,osi,6,0.457163,0.726322,0.527543,0.000000,1.626184,0.000000,0.000000,0.837596,2025-04-01,2025-04-30
external,response,intersc,7,0.456444,0.822501,0.676507,0.000000,2.052016,0.000000,0.000000,0.571546,2025-04-01,2025-04-30
external,response,jinbun,6,0.435369,1.066431,1.137275,0.000000,2.612212,0.000000,0.000000,0.000000,2025-04-01,2025-04-30
external,response,opop,6,0.358507,0.556009,0.309146,0.000000,1.116795,0.000000,0.000000,0.775684,2025-04-01,2025-04-30
external,response,dpipe,3,0.354416,0.613867,0.376832,0.000000,1.063248,0.000000,0.000000,0.531624,2025-04-01,2025-04-30
external,response,butsuri,4,0.307725,0.615451,0.378780,0.000000,1.230902,0.000000,0.000000,0.307725,2025-04-01,2025-04-30
external,response,oii,8,0.282486,0.523110,0.273644,0.000000,1.143093,0.000000,0.000000,0.279199,2025-04-01,2025-04-30
external,response,gene,4,0.281255,0.562509,0.316416,0.000000,1.125018,0.000000,0.000000,0.281255,2025-04-01,2025-04-30
external,response,physics,6,0.273207,0.669217,0.447851,0.000000,1.639240,0.000000,0.000000,0.000000,2025-04-01,2025-04-30
external,response,coi-sec,9,0.272360,0.540483,0.292122,0.000000,1.238112,0.000000,0.000000,0.000000,2025-04-01,2025-04-30
external,response,lingua,4,0.256502,0.513004,0.263173,0.000000,1.026008,0.000000,0.000000,0.256502,2025-04-01,2025-04-30
external,response,sse,5,0.228619,0.511207,0.261332,0.000000,1.143093,0.000000,0.000000,0.000000,2025-04-01,2025-04-30
external,response,tessa,5,0.228619,0.511207,0.261332,0.000000,1.143093,0.000000,0.000000,0.000000,2025-04-01,2025-04-30
external,response,chemistry,5,0.225004,0.503123,0.253133,0.000000,1.125018,0.000000,0.000000,0.000000,2025-04-01,2025-04-30
external,response,geol,10,0.220469,0.465319,0.216521,0.000000,1.149367,0.000000,0.000000,0.000000,2025-04-01,2025-04-30
external,response,mast,6,0.172374,0.422229,0.178277,0.000000,1.034245,0.000000,0.000000,0.000000,2025-04-01,2025-04-30
external,response,histanth,8,0.132906,0.375915,0.141312,0.000000,1.063248,0.000000,0.000000,0.000000,2025-04-01,2025-04-30
external,response,scs,8,0.131916,0.373114,0.139214,0.000000,1.055327,0.000000,0.000000,0.000000,2025-04-01,2025-04-30
external,response,suiri,13,0.081788,0.294892,0.086961,0.000000,1.063248,0.000000,0.000000,0.000000,2025-04-01,2025-04-30
external,response,anpi,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2025-04-01,2025-04-30
external,response,bres,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2025-04-01,2025-04-30
external,response,heritage,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2025-04-01,2025-04-30
