date,subdomain,qtype,count,ratio
2025-04-01,bres,43,2,0.0003
2025-04-01,bres,5,11,0.0014
2025-04-01,bres,6,15,0.0020
2025-04-01,bres,65,325,0.0423
2025-04-01,bres,99,3,0.0004
2025-04-01,butsuri,1,519,0.5754
2025-04-01,butsuri,12,2,0.0022
2025-04-01,butsuri,15,15,0.0166
2025-04-01,butsuri,16,2,0.0022
2025-04-01,butsuri,2,34,0.0377
2025-04-01,butsuri,257,2,0.0022
2025-04-01,butsuri,28,193,0.2140
2025-04-01,butsuri,33,2,0.0022
2025-04-01,butsuri,48,2,0.0022
2025-04-01,butsuri,5,2,0.0022
2025-04-01,butsuri,6,11,0.0122
2025-04-01,butsuri,65,118,0.1308
2025-04-01,cc,1,944012,0.5995
2025-04-01,cc,12,17,0.0000
2025-04-01,cc,13,6,0.0000
2025-04-01,cc,15,10881,0.0069
2025-04-01,cc,16,12136,0.0077
2025-04-01,cc,2,47455,0.0301
2025-04-01,cc,251,10,0.0000
2025-04-01,cc,255,693,0.0004
2025-04-01,cc,257,13858,0.0088
2025-04-01,cc,28,535993,0.3404
2025-04-01,cc,33,29,0.0000
2025-04-01,cc,38,37,0.0000
2025-04-01,cc,39,2,0.0000
2025-04-01,cc,43,1548,0.0010
2025-04-01,cc,46,1,0.0000
2025-04-01,cc,47,1,0.0000
2025-04-01,cc,48,859,0.0005
2025-04-01,cc,5,1413,0.0009
2025-04-01,cc,6,2267,0.0014
2025-04-01,cc,65,3337,0.0021
2025-04-01,cc,99,124,0.0001
2025-04-01,ccr,1,685,0.4794
2025-04-01,ccr,12,2,0.0014
2025-04-01,ccr,15,229,0.1603
2025-04-01,ccr,16,47,0.0329
2025-04-01,ccr,2,50,0.0350
2025-04-01,ccr,257,1,0.0007
2025-04-01,ccr,28,371,0.2596
2025-04-01,ccr,33,2,0.0014
2025-04-01,ccr,43,1,0.0007
2025-04-01,ccr,48,2,0.0014
2025-04-01,ccr,5,10,0.0070
2025-04-01,ccr,6,5,0.0035
2025-04-01,ccr,65,23,0.0161
2025-04-01,ccr,99,1,0.0007
2025-04-01,ccs,1,34429,0.6160
2025-04-01,ccs,15,2969,0.0531
2025-04-01,ccs,16,448,0.0080
2025-04-01,ccs,2,1606,0.0287
2025-04-01,ccs,255,4,0.0001
2025-04-01,ccs,28,15475,0.2769
2025-04-01,ccs,35,1,0.0000
2025-04-01,ccs,43,34,0.0006
2025-04-01,ccs,48,6,0.0001
2025-04-01,ccs,5,139,0.0025
2025-04-01,ccs,6,133,0.0024
2025-04-01,ccs,65,619,0.0111
2025-04-01,ccs,99,28,0.0005
2025-04-01,cegloc,1,21024,0.6063
2025-04-01,cegloc,15,79,0.0023
2025-04-01,cegloc,16,33,0.0010
2025-04-01,cegloc,2,603,0.0174
2025-04-01,cegloc,255,1,0.0000
2025-04-01,cegloc,28,10673,0.3078
2025-04-01,cegloc,43,34,0.0010
2025-04-01,cegloc,5,40,0.0012
2025-04-01,cegloc,6,28,0.0008
2025-04-01,cegloc,65,2159,0.0623
2025-04-01,cegloc,99,2,0.0001
2025-04-01,centers,1,606,0.5935
2025-04-01,centers,15,1,0.0010
2025-04-01,centers,16,1,0.0010
2025-04-01,centers,2,119,0.1166
2025-04-01,centers,28,255,0.2498
2025-04-01,centers,5,1,0.0010
2025-04-01,centers,6,10,0.0098
2025-04-01,centers,65,28,0.0274
2025-04-01,chem,0,1,0.0001
2025-04-01,chem,1,9258,0.4713
2025-04-01,chem,15,2719,0.1384
2025-04-01,chem,16,400,0.0204
2025-04-01,chem,2,354,0.0180
2025-04-01,chem,255,3,0.0002
2025-04-01,chem,28,6026,0.3067
2025-04-01,chem,43,51,0.0026
2025-04-01,chem,5,21,0.0011
2025-04-01,chem,6,9,0.0005
2025-04-01,chem,65,797,0.0406
2025-04-01,chem,99,6,0.0003
2025-04-01,chemistry,1,768,0.6086
2025-04-01,chemistry,12,2,0.0016
2025-04-01,chemistry,15,5,0.0040
2025-04-01,chemistry,16,3,0.0024
2025-04-01,chemistry,2,21,0.0166
2025-04-01,chemistry,257,1,0.0008
2025-04-01,chemistry,28,317,0.2512
2025-04-01,chemistry,33,2,0.0016
2025-04-01,chemistry,48,1,0.0008
2025-04-01,chemistry,5,2,0.0016
2025-04-01,chemistry,6,11,0.0087
2025-04-01,chemistry,65,129,0.1022
2025-04-01,chiiki,1,225,0.6429
2025-04-01,chiiki,15,43,0.1229
2025-04-01,chiiki,16,1,0.0029
2025-04-01,chiiki,2,23,0.0657
2025-04-01,chiiki,28,46,0.1314
2025-04-01,chiiki,43,1,0.0029
2025-04-01,chiiki,5,1,0.0029
2025-04-01,chiiki,6,10,0.0286
2025-04-01,chs,1,2084,0.6480
2025-04-01,chs,12,3,0.0009
2025-04-01,chs,15,8,0.0025
2025-04-01,chs,16,4,0.0012
2025-04-01,chs,2,47,0.0146
2025-04-01,chs,257,3,0.0009
2025-04-01,chs,28,868,0.2699
2025-04-01,chs,33,3,0.0009
2025-04-01,chs,43,1,0.0003
2025-04-01,chs,48,3,0.0009
2025-04-01,chs,5,7,0.0022
2025-04-01,chs,6,14,0.0044
2025-04-01,chs,65,170,0.0529
2025-04-01,chs,99,1,0.0003
2025-04-01,cj,1,7370,0.7708
2025-04-01,cj,15,5,0.0005
2025-04-01,cj,2,15,0.0016
2025-04-01,cj,28,2129,0.2227
2025-04-01,cj,43,2,0.0002
2025-04-01,cj,5,1,0.0001
2025-04-01,cj,6,9,0.0009
2025-04-01,cj,65,30,0.0031
2025-04-01,coi-sec,1,1379,0.6217
2025-04-01,coi-sec,12,3,0.0014
2025-04-01,coi-sec,15,9,0.0041
2025-04-01,coi-sec,16,6,0.0027
2025-04-01,coi-sec,2,56,0.0252
2025-04-01,coi-sec,257,3,0.0014
2025-04-01,coi-sec,28,559,0.2520
2025-04-01,coi-sec,33,3,0.0014
2025-04-01,coi-sec,48,3,0.0014
2025-04-01,coi-sec,5,8,0.0036
2025-04-01,coi-sec,6,12,0.0054
2025-04-01,coi-sec,65,177,0.0798
2025-04-01,coins,1,29464,0.5450
2025-04-01,coins,12,4,0.0001
2025-04-01,coins,15,2788,0.0516
2025-04-01,coins,16,121,0.0022
2025-04-01,coins,2,1418,0.0262
2025-04-01,coins,255,5,0.0001
2025-04-01,coins,257,3,0.0001
2025-04-01,coins,28,17813,0.3295
2025-04-01,coins,33,2,0.0000
2025-04-01,coins,43,354,0.0065
2025-04-01,coins,48,1000,0.0185
2025-04-01,coins,5,87,0.0016
2025-04-01,coins,6,38,0.0007
2025-04-01,coins,65,963,0.0178
2025-04-01,conservation,1,820,0.7118
2025-04-01,conservation,15,3,0.0026
2025-04-01,conservation,16,6,0.0052
2025-04-01,conservation,2,51,0.0443
2025-04-01,conservation,28,236,0.2049
2025-04-01,conservation,5,4,0.0035
2025-04-01,conservation,6,11,0.0095
2025-04-01,conservation,65,21,0.0182
2025-04-01,corpus,1,25,0.0874
2025-04-01,corpus,15,2,0.0070
2025-04-01,corpus,16,1,0.0035
2025-04-01,corpus,2,2,0.0070
2025-04-01,corpus,252,52,0.1818
2025-04-01,corpus,28,13,0.0455
2025-04-01,corpus,5,2,0.0070
2025-04-01,corpus,6,188,0.6573
2025-04-01,corpus,65,1,0.0035
2025-04-01,criced,1,12725,0.6245
2025-04-01,criced,12,2,0.0001
2025-04-01,criced,15,579,0.0284
2025-04-01,criced,16,87,0.0043
2025-04-01,criced,2,272,0.0133
2025-04-01,criced,257,2,0.0001
2025-04-01,criced,28,5647,0.2771
2025-04-01,criced,33,2,0.0001
2025-04-01,criced,43,14,0.0007
2025-04-01,criced,48,2,0.0001
2025-04-01,criced,5,33,0.0016
2025-04-01,criced,6,15,0.0007
2025-04-01,criced,65,994,0.0488
2025-04-01,criced,99,3,0.0001
2025-04-01,cryo,1,229,0.7025
2025-04-01,cryo,15,3,0.0092
2025-04-01,cryo,16,2,0.0061
2025-04-01,cryo,2,25,0.0767
2025-04-01,cryo,28,44,0.1350
2025-04-01,cryo,43,2,0.0061
2025-04-01,cryo,5,2,0.0061
2025-04-01,cryo,6,14,0.0429
2025-04-01,cryo,65,5,0.0153
2025-04-01,cs,0,1,0.0000
2025-04-01,cs,1,102426,0.4880
2025-04-01,cs,12,8,0.0000
2025-04-01,cs,13,3,0.0000
2025-04-01,cs,15,16238,0.0774
2025-04-01,cs,16,5435,0.0259
2025-04-01,cs,2,13977,0.0666
2025-04-01,cs,255,5,0.0000
2025-04-01,cs,257,19,0.0001
2025-04-01,cs,28,60729,0.2893
2025-04-01,cs,33,8,0.0000
2025-04-01,cs,35,2,0.0000
2025-04-01,cs,43,4310,0.0205
2025-04-01,cs,48,3484,0.0166
2025-04-01,cs,5,388,0.0018
2025-04-01,cs,6,307,0.0015
2025-04-01,cs,65,2438,0.0116
2025-04-01,cs,99,125,0.0006
2025-04-01,cybernics,1,60,0.1993
2025-04-01,cybernics,15,113,0.3754
2025-04-01,cybernics,16,14,0.0465
2025-04-01,cybernics,2,5,0.0166
2025-04-01,cybernics,28,91,0.3023
2025-04-01,cybernics,43,6,0.0199
2025-04-01,cybernics,5,12,0.0399
2025-04-01,dac,1,4359,0.5482
2025-04-01,dac,12,2,0.0003
2025-04-01,dac,15,4,0.0005
2025-04-01,dac,16,9,0.0011
2025-04-01,dac,2,35,0.0044
2025-04-01,dac,255,1,0.0001
2025-04-01,dac,257,2,0.0003
2025-04-01,dac,28,3217,0.4046
2025-04-01,dac,33,2,0.0003
2025-04-01,dac,43,2,0.0003
2025-04-01,dac,48,2,0.0003
2025-04-01,dac,5,6,0.0008
2025-04-01,dac,6,10,0.0013
2025-04-01,dac,65,299,0.0376
2025-04-01,dac,99,1,0.0001
2025-04-01,deaf-s,1,6188,0.4859
2025-04-01,deaf-s,12,1,0.0001
2025-04-01,deaf-s,15,1945,0.1527
2025-04-01,deaf-s,16,80,0.0063
2025-04-01,deaf-s,2,119,0.0093
2025-04-01,deaf-s,28,4174,0.3277
2025-04-01,deaf-s,43,4,0.0003
2025-04-01,deaf-s,5,13,0.0010
2025-04-01,deaf-s,6,20,0.0016
2025-04-01,deaf-s,65,181,0.0142
2025-04-01,deaf-s,99,11,0.0009
2025-04-01,diversity,1,1388,0.5552
2025-04-01,diversity,12,2,0.0008
2025-04-01,diversity,15,6,0.0024
2025-04-01,diversity,16,10,0.0040
2025-04-01,diversity,2,11,0.0044
2025-04-01,diversity,257,2,0.0008
2025-04-01,diversity,28,968,0.3872
2025-04-01,diversity,33,2,0.0008
2025-04-01,diversity,43,3,0.0012
2025-04-01,diversity,48,2,0.0008
2025-04-01,diversity,5,9,0.0036
2025-04-01,diversity,6,11,0.0044
2025-04-01,diversity,65,86,0.0344
2025-04-01,dpipe,1,4500,0.4379
2025-04-01,dpipe,12,1,0.0001
2025-04-01,dpipe,15,1579,0.1537
2025-04-01,dpipe,16,214,0.0208
2025-04-01,dpipe,2,552,0.0537
2025-04-01,dpipe,255,1,0.0001
2025-04-01,dpipe,257,1,0.0001
2025-04-01,dpipe,28,3036,0.2954
2025-04-01,dpipe,33,1,0.0001
2025-04-01,dpipe,43,14,0.0014
2025-04-01,dpipe,48,1,0.0001
2025-04-01,dpipe,5,199,0.0194
2025-04-01,dpipe,6,97,0.0094
2025-04-01,dpipe,65,43,0.0042
2025-04-01,dpipe,99,37,0.0036
2025-04-01,e-nihongo,1,85,0.2141
2025-04-01,e-nihongo,15,2,0.0050
2025-04-01,e-nihongo,2,2,0.0050
2025-04-01,e-nihongo,252,50,0.1259
2025-04-01,e-nihongo,28,53,0.1335
2025-04-01,e-nihongo,35,1,0.0025
2025-04-01,e-nihongo,5,2,0.0050
2025-04-01,e-nihongo,6,181,0.4559
2025-04-01,e-nihongo,65,21,0.0529
2025-04-01,earth,1,593,0.5455
2025-04-01,earth,15,7,0.0064
2025-04-01,earth,16,2,0.0018
2025-04-01,earth,2,27,0.0248
2025-04-01,earth,28,315,0.2898
2025-04-01,earth,5,3,0.0028
2025-04-01,earth,6,13,0.0120
2025-04-01,earth,65,127,0.1168
2025-04-01,ecloud,1,5652,0.5055
2025-04-01,ecloud,12,2,0.0002
2025-04-01,ecloud,13,1,0.0001
2025-04-01,ecloud,15,542,0.0485
2025-04-01,ecloud,16,218,0.0195
2025-04-01,ecloud,2,283,0.0253
2025-04-01,ecloud,257,2,0.0002
2025-04-01,ecloud,28,3127,0.2797
2025-04-01,ecloud,33,2,0.0002
2025-04-01,ecloud,43,45,0.0040
2025-04-01,ecloud,48,2,0.0002
2025-04-01,ecloud,5,34,0.0030
2025-04-01,ecloud,6,42,0.0038
2025-04-01,ecloud,65,1227,0.1097
2025-04-01,ecloud,99,1,0.0001
2025-04-01,edu,1,4087,0.6849
2025-04-01,edu,12,3,0.0005
2025-04-01,edu,15,12,0.0020
2025-04-01,edu,16,10,0.0017
2025-04-01,edu,2,378,0.0633
2025-04-01,edu,255,1,0.0002
2025-04-01,edu,257,3,0.0005
2025-04-01,edu,28,1307,0.2190
2025-04-01,edu,33,4,0.0007
2025-04-01,edu,43,7,0.0012
2025-04-01,edu,48,3,0.0005
2025-04-01,edu,5,6,0.0010
2025-04-01,edu,6,15,0.0025
2025-04-01,edu,65,131,0.0220
2025-04-01,education,1,2952,0.5972
2025-04-01,education,12,2,0.0004
2025-04-01,education,15,17,0.0034
2025-04-01,education,16,10,0.0020
2025-04-01,education,2,197,0.0399
2025-04-01,education,28,1312,0.2654
2025-04-01,education,5,7,0.0014
2025-04-01,education,6,8,0.0016
2025-04-01,education,65,436,0.0882
2025-04-01,education,99,2,0.0004
2025-04-01,elementary-s,1,2757,0.4507
2025-04-01,elementary-s,12,2,0.0003
2025-04-01,elementary-s,15,539,0.0881
2025-04-01,elementary-s,16,86,0.0141
2025-04-01,elementary-s,2,127,0.0208
2025-04-01,elementary-s,255,1,0.0002
2025-04-01,elementary-s,28,1835,0.3000
2025-04-01,elementary-s,33,3,0.0005
2025-04-01,elementary-s,43,1,0.0002
2025-04-01,elementary-s,5,13,0.0021
2025-04-01,elementary-s,6,6,0.0010
2025-04-01,elementary-s,65,712,0.1164
2025-04-01,elementary-s,99,35,0.0057
2025-04-01,emc,1,213,0.3974
2025-04-01,emc,15,132,0.2463
2025-04-01,emc,16,16,0.0299
2025-04-01,emc,2,20,0.0373
2025-04-01,emc,28,143,0.2668
2025-04-01,emc,5,6,0.0112
2025-04-01,emc,6,2,0.0037
2025-04-01,emc,99,4,0.0075
2025-04-01,eme,1,561,0.5974
2025-04-01,eme,15,1,0.0011
2025-04-01,eme,2,16,0.0170
2025-04-01,eme,255,1,0.0011
2025-04-01,eme,28,280,0.2982
2025-04-01,eme,33,1,0.0011
2025-04-01,eme,5,1,0.0011
2025-04-01,eme,6,1,0.0011
2025-04-01,eme,65,77,0.0820
2025-04-01,emp,1,1850,0.5657
2025-04-01,emp,15,234,0.0716
2025-04-01,emp,16,76,0.0232
2025-04-01,emp,2,144,0.0440
2025-04-01,emp,255,10,0.0031
2025-04-01,emp,257,17,0.0052
2025-04-01,emp,28,817,0.2498
2025-04-01,emp,39,1,0.0003
2025-04-01,emp,43,1,0.0003
2025-04-01,emp,5,48,0.0147
2025-04-01,emp,6,14,0.0043
2025-04-01,emp,65,56,0.0171
2025-04-01,emp,99,2,0.0006
2025-04-01,engsci,1,109,0.6412
2025-04-01,engsci,12,1,0.0059
2025-04-01,engsci,15,2,0.0118
2025-04-01,engsci,16,1,0.0059
2025-04-01,engsci,2,5,0.0294
2025-04-01,engsci,257,1,0.0059
2025-04-01,engsci,28,42,0.2471
2025-04-01,engsci,33,1,0.0059
2025-04-01,engsci,48,1,0.0059
2025-04-01,engsci,5,1,0.0059
2025-04-01,engsci,6,1,0.0059
2025-04-01,engsci,65,5,0.0294
2025-04-01,entrance-exam,1,1,0.0769
2025-04-01,entrance-exam,2,2,0.1538
2025-04-01,entrance-exam,28,1,0.0769
2025-04-01,entrance-exam,6,9,0.6923
2025-04-01,envr,1,70996,0.7173
2025-04-01,envr,12,2,0.0000
2025-04-01,envr,15,1959,0.0198
2025-04-01,envr,16,73,0.0007
2025-04-01,envr,2,915,0.0092
2025-04-01,envr,257,2,0.0000
2025-04-01,envr,28,24309,0.2456
2025-04-01,envr,33,2,0.0000
2025-04-01,envr,43,11,0.0001
2025-04-01,envr,48,3,0.0000
2025-04-01,envr,5,14,0.0001
2025-04-01,envr,6,25,0.0003
2025-04-01,envr,65,665,0.0067
2025-04-01,esys,1,17593,0.5290
2025-04-01,esys,12,1,0.0000
2025-04-01,esys,15,2534,0.0762
2025-04-01,esys,16,191,0.0057
2025-04-01,esys,2,1196,0.0360
2025-04-01,esys,257,24,0.0007
2025-04-01,esys,28,11065,0.3327
2025-04-01,esys,33,3,0.0001
2025-04-01,esys,39,3,0.0001
2025-04-01,esys,43,131,0.0039
2025-04-01,esys,48,95,0.0029
2025-04-01,esys,5,79,0.0024
2025-04-01,esys,6,36,0.0011
2025-04-01,esys,65,283,0.0085
2025-04-01,esys,99,25,0.0008
2025-04-01,f-mirai,1,731,0.5546
2025-04-01,f-mirai,15,63,0.0478
2025-04-01,f-mirai,16,17,0.0129
2025-04-01,f-mirai,2,24,0.0182
2025-04-01,f-mirai,28,452,0.3429
2025-04-01,f-mirai,5,10,0.0076
2025-04-01,f-mirai,6,8,0.0061
2025-04-01,f-mirai,65,13,0.0099
2025-04-01,fair,1,1590,0.5330
2025-04-01,fair,12,2,0.0007
2025-04-01,fair,15,12,0.0040
2025-04-01,fair,16,8,0.0027
2025-04-01,fair,2,104,0.0349
2025-04-01,fair,257,2,0.0007
2025-04-01,fair,28,512,0.1716
2025-04-01,fair,33,2,0.0007
2025-04-01,fair,48,2,0.0007
2025-04-01,fair,5,9,0.0030
2025-04-01,fair,6,17,0.0057
2025-04-01,fair,65,723,0.2424
2025-04-01,fair-meta,1,9,0.2308
2025-04-01,fair-meta,15,3,0.0769
2025-04-01,fair-meta,16,2,0.0513
2025-04-01,fair-meta,2,6,0.1538
2025-04-01,fair-meta,28,4,0.1026
2025-04-01,fair-meta,5,4,0.1026
2025-04-01,fair-meta,6,11,0.2821
2025-04-01,flang,1,87,0.5506
2025-04-01,flang,15,3,0.0190
2025-04-01,flang,16,3,0.0190
2025-04-01,flang,2,12,0.0759
2025-04-01,flang,28,32,0.2025
2025-04-01,flang,5,7,0.0443
2025-04-01,flang,6,11,0.0696
2025-04-01,flang,65,3,0.0190
2025-04-01,geijutsu,1,11535,0.5058
2025-04-01,geijutsu,13,2,0.0001
2025-04-01,geijutsu,15,1867,0.0819
2025-04-01,geijutsu,16,239,0.0105
2025-04-01,geijutsu,2,208,0.0091
2025-04-01,geijutsu,255,7,0.0003
2025-04-01,geijutsu,28,7988,0.3502
2025-04-01,geijutsu,43,9,0.0004
2025-04-01,geijutsu,5,22,0.0010
2025-04-01,geijutsu,6,12,0.0005
2025-04-01,geijutsu,65,902,0.0395
2025-04-01,geijutsu,99,16,0.0007
2025-04-01,gene,1,1044,0.3639
2025-04-01,gene,12,1,0.0003
2025-04-01,gene,15,1000,0.3486
2025-04-01,gene,16,56,0.0195
2025-04-01,gene,2,89,0.0310
2025-04-01,gene,28,610,0.2126
2025-04-01,gene,33,1,0.0003
2025-04-01,gene,35,1,0.0003
2025-04-01,gene,43,10,0.0035
2025-04-01,gene,48,1,0.0003
2025-04-01,gene,5,33,0.0115
2025-04-01,gene,6,12,0.0042
2025-04-01,gene,65,11,0.0038
2025-04-01,geo,1,2571,0.6701
2025-04-01,geo,12,1,0.0003
2025-04-01,geo,15,96,0.0250
2025-04-01,geo,16,14,0.0036
2025-04-01,geo,2,348,0.0907
2025-04-01,geo,255,1,0.0003
2025-04-01,geo,257,1,0.0003
2025-04-01,geo,28,659,0.1717
2025-04-01,geo,33,1,0.0003
2025-04-01,geo,48,1,0.0003
2025-04-01,geo,5,22,0.0057
2025-04-01,geo,6,26,0.0068
2025-04-01,geo,65,96,0.0250
2025-04-01,geoenv,1,6965,0.4252
2025-04-01,geoenv,13,1,0.0001
2025-04-01,geoenv,15,4484,0.2737
2025-04-01,geoenv,16,850,0.0519
2025-04-01,geoenv,2,434,0.0265
2025-04-01,geoenv,257,1,0.0001
2025-04-01,geoenv,28,2668,0.1629
2025-04-01,geoenv,33,1,0.0001
2025-04-01,geoenv,43,14,0.0009
2025-04-01,geoenv,5,11,0.0007
2025-04-01,geoenv,6,13,0.0008
2025-04-01,geoenv,65,788,0.0481
2025-04-01,geoenv,99,151,0.0092
2025-04-01,geol,1,4347,0.3991
2025-04-01,geol,13,2,0.0002
2025-04-01,geol,15,4040,0.3709
2025-04-01,geol,16,152,0.0140
2025-04-01,geol,2,328,0.0301
2025-04-01,geol,28,1503,0.1380
2025-04-01,geol,43,13,0.0012
